tabela,VD4010,VD4011,n_amostral,n_upa
atividade_ocupacao,4.0,5.0,2596,344
atividade_ocupacao,1.0,6.0,2108,268
atividade_ocupacao,9.0,2.0,1599,314
atividade_ocupacao,11.0,9.0,1380,296
atividade_ocupacao,3.0,7.0,1359,311
atividade_ocupacao,6.0,5.0,890,259
atividade_ocupacao,8.0,4.0,704,218
atividade_ocupacao,9.0,3.0,673,256
atividade_ocupacao,5.0,8.0,671,243
atividade_ocupacao,4.0,7.0,653,236
atividade_ocupacao,2.0,7.0,636,234
atividade_ocupacao,4.0,9.0,624,216
atividade_ocupacao,10.0,5.0,603,218
atividade_ocupacao,8.0,10.0,587,196
atividade_ocupacao,9.0,5.0,577,239
atividade_ocupacao,1.0,9.0,550,162
atividade_ocupacao,7.0,9.0,539,220
atividade_ocupacao,3.0,9.0,509,198
atividade_ocupacao,8.0,3.0,474,194
atividade_ocupacao,9.0,4.0,408,192
atividade_ocupacao,7.0,4.0,360,168
atividade_ocupacao,7.0,5.0,324,168
atividade_ocupacao,11.0,5.0,316,165
atividade_ocupacao,8.0,2.0,307,117
atividade_ocupacao,4.0,4.0,294,150
atividade_ocupacao,4.0,1.0,294,139
atividade_ocupacao,8.0,5.0,281,141
atividade_ocupacao,7.0,2.0,264,118
atividade_ocupacao,4.0,8.0,220,127
atividade_ocupacao,6.0,9.0,206,125
atividade_ocupacao,7.0,3.0,205,118
atividade_ocupacao,2.0,8.0,184,114
atividade_ocupacao,9.0,9.0,182,125
atividade_ocupacao,2.0,9.0,179,102
atividade_ocupacao,8.0,1.0,178,96
atividade_ocupacao,8.0,9.0,138,93
atividade_ocupacao,10.0,2.0,114,85
atividade_ocupacao,1.0,8.0,113,79
atividade_ocupacao,10.0,7.0,111,73
atividade_ocupacao,3.0,8.0,102,82
atividade_ocupacao,2.0,5.0,97,79
atividade_ocupacao,10.0,3.0,97,67
atividade_ocupacao,8.0,8.0,97,73
atividade_ocupacao,6.0,7.0,95,72
atividade_ocupacao,7.0,1.0,85,58
atividade_ocupacao,2.0,4.0,82,63
atividade_ocupacao,10.0,4.0,80,64
atividade_ocupacao,3.0,3.0,77,63
atividade_ocupacao,7.0,7.0,74,57
atividade_ocupacao,6.0,1.0,71,47
atividade_ocupacao,4.0,3.0,68,55
atividade_ocupacao,6.0,4.0,67,52
atividade_ocupacao,9.0,1.0,66,51
atividade_ocupacao,2.0,3.0,65,53
atividade_ocupacao,7.0,8.0,64,55
atividade_ocupacao,4.0,2.0,44,35
atividade_ocupacao,5.0,9.0,42,30
atividade_ocupacao,5.0,4.0,42,36
atividade_ocupacao,1.0,1.0,38,32
atividade_ocupacao,10.0,1.0,36,28
atividade_ocupacao,1.0,7.0,36,32
atividade_ocupacao,6.0,8.0,35,30
atividade_ocupacao,2.0,2.0,34,24
atividade_ocupacao,2.0,1.0,33,28
atividade_ocupacao,10.0,9.0,33,26
atividade_ocupacao,11.0,6.0,29,24
atividade_ocupacao,1.0,5.0,29,24
atividade_ocupacao,9.0,8.0,28,24
atividade_ocupacao,9.0,10.0,25,22
atividade_ocupacao,5.0,1.0,24,23
atividade_ocupacao,5.0,5.0,24,20
atividade_ocupacao,3.0,5.0,23,21
atividade_ocupacao,7.0,6.0,19,18
atividade_ocupacao,3.0,4.0,17,16
atividade_ocupacao,3.0,2.0,14,13
atividade_ocupacao,8.0,7.0,13,13
atividade_ocupacao,3.0,1.0,13,12
atividade_ocupacao,5.0,3.0,12,12
atividade_ocupacao,6.0,2.0,9,8
atividade_ocupacao,1.0,4.0,9,9
atividade_ocupacao,5.0,7.0,9,8
atividade_ocupacao,10.0,8.0,8,8
atividade_ocupacao,1.0,3.0,7,7
atividade_ocupacao,6.0,3.0,7,7
atividade_ocupacao,4.0,6.0,4,4
atividade_ocupacao,9.0,7.0,3,3
atividade_ocupacao,11.0,8.0,3,3
atividade_ocupacao,1.0,2.0,3,3
atividade_ocupacao,6.0,6.0,2,2
atividade_ocupacao,9.0,6.0,2,2
atividade_ocupacao,2.0,6.0,2,1
atividade_ocupacao,5.0,2.0,2,2
atividade_ocupacao,3.0,11.0,1,1
atividade_ocupacao,3.0,6.0,1,1
atividade_ocupacao,12.0,7.0,1,1
atividade_ocupacao,12.0,11.0,1,1
