,rotulo,referencia,coeficiente,erro_padrao,p_valor,efeito_absoluto_aprox
Intercept,Constante,,36.800189865796014,1.1729393078388983,4.531990738849166e-216,36.800189865796014
C(escolaridade)[T.2],Escolaridade: Fundamental incompleto ou equivalente,Referência: Sem instrução ou fundamental incompleto,-0.3858851039871769,0.49269954287035483,0.43350631198406053,-0.3858851039871769
C(escolaridade)[T.3],Escolaridade: Fundamental completo ou equivalente,Referência: Sem instrução ou fundamental incompleto,-0.04490879452285104,0.5692354802476074,0.9371175916547105,-0.04490879452285104
C(escolaridade)[T.4],Escolaridade: Médio incompleto ou equivalente,Referência: Sem instrução ou fundamental incompleto,-0.574683843476881,0.5812923645217037,0.3228435517108934,-0.574683843476881
C(escolaridade)[T.5],Escolaridade: Médio completo ou equivalente,Referência: Sem instrução ou fundamental incompleto,-0.012932577422732483,0.49936213603166596,0.9793385406278106,-0.012932577422732483
C(escolaridade)[T.6],Escolaridade: Superior incompleto ou equivalente,Referência: Sem instrução ou fundamental incompleto,-0.6956045742112947,0.5705857434504565,0.2228039157748367,-0.6956045742112947
C(escolaridade)[T.7],Escolaridade: Superior completo,Referência: Sem instrução ou fundamental incompleto,-0.33858725048011634,0.541002434433867,0.5314122694363352,-0.33858725048011634
C(ocupacao_grupo)[T.10],"Ocupação: Membros das forças armadas, policiais e bombeiros militares",Referência: Dirigentes e gerentes,0.5887141387506728,0.6254160963082043,0.3465429780170459,0.5887141387506728
C(ocupacao_grupo)[T.11],Ocupação: Ocupações mal definidas,Referência: Dirigentes e gerentes,-5.163092046158546,1.2500605777337146,3.6233196021349757e-05,-5.163092046158546
C(ocupacao_grupo)[T.2],Ocupação: Profissionais das ciências e intelectuais,Referência: Dirigentes e gerentes,-4.326520423987939,0.38088077349373134,6.671392042337067e-30,-4.326520423987939
C(ocupacao_grupo)[T.3],Ocupação: Técnicos e profissionais de nível médio,Referência: Dirigentes e gerentes,-2.7543646917553564,0.36938611307416996,8.878335071861787e-14,-2.7543646917553564
