,rotulo,referencia,coeficiente,erro_padrao,p_valor,efeito_percentual_aprox
Intercept,Constante,,1.7334784861077215,0.07630372426587191,2.9651738789180746e-114,466.0309009867234
C(escolaridade)[T.2],Escolaridade: Fundamental incompleto ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.15359781184355858,0.03527193916920691,1.3326482596323305e-05,16.6021832289583
C(escolaridade)[T.3],Escolaridade: Fundamental completo ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.28786555918507023,0.039812196936582854,4.809102922396503e-13,33.3578004757346
C(escolaridade)[T.4],Escolaridade: Médio incompleto ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.2721547593661842,0.04036937950516028,1.5663715527158104e-11,31.27901521628358
C(escolaridade)[T.5],Escolaridade: Médio completo ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.33791104227721314,0.03738413292377534,1.5827161574020427e-19,40.20157777268487
C(escolaridade)[T.6],Escolaridade: Superior incompleto ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.43425230859661007,0.0385298038529025,1.8340822265820548e-29,54.380833509595035
C(escolaridade)[T.7],Escolaridade: Superior completo,Referência: Sem instrução ou fundamental incompleto,0.6856783845466764,0.04578209414188371,1.0379904450418732e-50,98.5118052269206
C(ocupacao_grupo)[T.10],"Ocupação: Membros das forças armadas, policiais e bombeiros militares",Referência: Dirigentes e gerentes,-0.2618750065987111,0.05392371445185152,1.1954045247251192e-06,-23.039278648082107
C(ocupacao_grupo)[T.11],Ocupação: Ocupações mal definidas,Referência: Dirigentes e gerentes,-0.7749791579098086,0.04806851941399421,1.7762096464351714e-58,-53.92866168712152
C(ocupacao_grupo)[T.2],Ocupação: Profissionais das ciências e intelectuais,Referência: Dirigentes e gerentes,0.11358685329238788,0.034700490375753415,0.001062807505819205,12.028918547124
C(ocupacao_grupo)[T.3],Ocupação: Técnicos e profissionais de nível médio,Referência: Dirigentes e gerentes,-0.2416783491755101,0.03395514679527888,1.0984139115670245e-12,-21.469126786637272
C(ocupacao_grupo)[T.4],Ocupação: Trabalhadores de apoio administrativo,Referência: Dirigentes e gerentes,-0.4902188002061122,0.030655564261570584,1.4720396989929338e-57,-38.75076339336766
