"modelo","rotulo","raca","coeficiente","erro_padrao","p_valor","efeito_percentual_aprox"
"M0","Bruto (só raça)","preto",-0.356775238543454,0.0340526111028655,1.11199819174321e-20,-30.007020270277
"M0","Bruto (só raça)","pardo",-0.311616315770696,0.0271482931194697,1.1686207594931e-23,-26.7737568117459
"M0","Bruto (só raça)","indigena",-0.505988258200563,0.0451295184868113,7.34373714777427e-23,-39.709054929587
"M1","+ Demografia","preto",-0.339593095953755,0.0327717104719582,2.63307906888302e-20,-28.7939996080841
"M1","+ Demografia","pardo",-0.292256189077615,0.0258483889656391,4.27165072172602e-23,-25.3422753464887
"M1","+ Demografia","indigena",-0.469002427757487,0.0421813901354574,1.54859167537104e-22,-37.4373935713895
"M2","+ Educação","preto",-0.142301086115512,0.0236030997120111,8.5619552258185e-09,-13.2639932905714
"M2","+ Educação","pardo",-0.130609529112734,0.018273714797941,1.897732037927e-11,-12.2439630723953
"M2","+ Educação","indigena",-0.207317129419534,0.0303287968376126,1.10683898197705e-10,-18.7238141583293
"M3","+ Atividade","preto",-0.138613548083593,0.021907145637612,1.98150472025133e-09,-12.9435605261929
"M3","+ Atividade","pardo",-0.129713363382489,0.0163198982605468,2.13774055544675e-13,-12.1652838699419
"M3","+ Atividade","indigena",-0.156721886925316,0.0256944785307524,6.5183985342592e-09,-14.5058203751161
"M4","+ Ocupação (FE separado)","preto",-0.119829311318536,0.0180836655640488,4.5322056062376e-10,-11.2928163082153
"M4","+ Ocupação (FE separado)","pardo",-0.105001303087935,0.0132359839416969,2.93677984063204e-13,-9.96766506149931
"M4","+ Ocupação (FE separado)","indigena",-0.132546250430311,0.0215056925801559,5.16553417792327e-09,-12.4137575844601
"M5","+ Ocupação×Atividade","preto",-0.117609546059842,0.0222994043373478,5.80189640987756e-07,-11.095688475846
"M5","+ Ocupação×Atividade","pardo",-0.105044467765526,0.0158354856878602,9.29174306533276e-10,-9.9715511943372
"M5","+ Ocupação×Atividade","indigena",-0.140098381584797,0.0269905189520378,8.39330271688042e-07,-13.0727289235056
"M6","+ Setor público","preto",-0.121388869926262,0.021952977929787,1.85919455045199e-07,-11.4310525383392
"M6","+ Setor público","pardo",-0.108218322598762,0.0155065812840988,1.67044586604767e-10,-10.2568354568095
"M6","+ Setor público","indigena",-0.147969203763082,0.0269809387583114,2.2841223665852e-07,-13.7542325016041
