"termo","coeficiente","erro_padrao","p_valor","efeito_percentual_aprox"
"(Intercept)",6.07055735762423,0.0645894289772624,1.79159688773592e-148,43192.1906669288
"formal",0.486464285057495,0.0323278166329949,4.45739104639229e-33,62.6555006112403
"mulher",-0.342538085543549,0.0292314738236991,1.2633985065053e-23,-29.0033920573398
"factor(raca_grupo)indigena",-0.224947108883658,0.0442881479401809,9.89348189673781e-07,-20.1441545709463
"factor(raca_grupo)pardo",-0.127597176202533,0.028859360220991,1.74433231465912e-05,-11.9792123580779
"factor(raca_grupo)preto",-0.151703301148026,0.0348709671337918,2.33731260808492e-05,-14.0756820609923
"idade",0.0376504670384512,0.00268136267264031,3.11818025907835e-30,3.83682255196309
"idade2",-0.00031116701596493,3.39393039945494e-05,1.54913456189911e-16,-0.0311118608530059
"factor(escolaridade)2",0.177430418332466,0.0384617466383208,7.77412683952551e-06,19.41449644137
"factor(escolaridade)3",0.356095951451958,0.0421423858863891,1.25987846965015e-14,42.7744535852901
"factor(escolaridade)4",0.337586423397777,0.0413155877850859,6.70018762641771e-14,40.1560730798539
"factor(escolaridade)5",0.516872535361424,0.0374755245201102,1.59113788070002e-29,67.6775385120264
"factor(escolaridade)6",0.736756487953338,0.0432173224218227,1.22540560609163e-38,108.914833550279
"factor(escolaridade)7",1.23576775110288,0.0398831642081161,7.8676154745045e-72,244.101935322782
"factor(periodo)2017T4",0.0188551905157281,0.0312895535435838,0.547575562811925,1.90340721339874
"factor(periodo)2018T4",-0.0581975697982963,0.0353118615620782,0.101178580532485,-5.65364708770582
"factor(periodo)2019T4",-0.0449430207656663,0.0342935509602676,0.191781500676056,-4.39480446104443
"factor(periodo)2020T4",-0.063340459593764,0.035706373168532,0.077865552941847,-6.13761442129084
"factor(periodo)2021T4",-0.0989840320061039,0.0407741264252992,0.0162417002074967,-9.4242828966946
"factor(periodo)2022T4",-0.0292314830666029,0.037229448219895,0.433446186397127,-2.88083759711575
"factor(periodo)2023T4",-0.0184605724950831,0.0281146341387261,0.512314479605718,-1.82912198434889
"factor(periodo)2024T4",-0.00643369319729954,0.0304921840764741,0.833144014098486,-0.641304130626641
"factor(periodo)2025T4",0.0263928358736903,0.0290281969873843,0.364524522135521,2.67442112194904
"formal:mulher",0.0811572056736577,0.0212785622173516,0.000191047714256039,8.45413792241194
"formal:factor(raca_grupo)indigena",-0.0777681559319528,0.0479634769065348,0.106784354355799,-7.48211010798985
"formal:factor(raca_grupo)pardo",-0.0278949113848506,0.0326579368097325,0.39422162385472,-2.75094408823682
"formal:factor(raca_grupo)preto",-0.0364828231554708,0.039939334508863,0.362296463197969,-3.58253447677603
"mulher:factor(raca_grupo)indigena",0.0834410058922897,0.0467487126740575,0.0760634061678488,8.70210855622529
"mulher:factor(raca_grupo)pardo",-0.0317025654169478,0.029823768393037,0.289291136826051,-3.12053077245343
"mulher:factor(raca_grupo)preto",-0.0161193354250252,0.0407588816714858,0.692984281213028,-1.59901141895605
