"termo","coeficiente","erro_padrao","p_valor","efeito_percentual_aprox","especificacao","dv","n_replicas_descartadas"
"factor(raca_grupo)indigena",-0.151269215610761,0.0419300065596786,0.000471336031495205,-14.0383754607336,"excl_2020_2021","ln_renda_hora_real",0
"factor(raca_grupo)indigena",-0.136068275024237,0.0562838393585544,0.017254226259758,-12.7216958828846,"pos_pandemia_2022_2025","ln_renda_hora_real",0
"factor(raca_grupo)indigena",-0.159989384779486,0.0604214574934898,0.00927864155959949,-14.7847165291548,"pre_pandemia_2016_2019","ln_renda_hora_real",0
"factor(raca_grupo)pardo",-0.098853199428994,0.022124691198275,1.96792230043222e-05,-9.41243186696892,"excl_2020_2021","ln_renda_hora_real",0
"factor(raca_grupo)pardo",-0.10093600470135,0.0286686932890722,0.000625362547729992,-9.60091177987148,"pos_pandemia_2022_2025","ln_renda_hora_real",0
"factor(raca_grupo)pardo",-0.0997951945134679,0.0359439197975548,0.00645283734214668,-9.49772473182788,"pre_pandemia_2016_2019","ln_renda_hora_real",0
"factor(raca_grupo)preto",-0.0653519307950694,0.0322323920531031,0.0450944599838023,-6.32622614964449,"excl_2020_2021","ln_renda_hora_real",0
"factor(raca_grupo)preto",-0.0556678032360457,0.0424795751295261,0.192745233059808,-5.41467068903521,"pos_pandemia_2022_2025","ln_renda_hora_real",0
"factor(raca_grupo)preto",-0.0871047889546578,0.047456293707697,0.069112597762167,-8.34189569687441,"pre_pandemia_2016_2019","ln_renda_hora_real",0
"formal",0.268880868250836,0.0284461659581422,8.87110989748e-16,30.8499247956554,"excl_2020_2021","ln_renda_hora_real",0
"formal",0.276049355514181,0.0425566507681045,2.52428162134625e-09,31.7912908691387,"pos_pandemia_2022_2025","ln_renda_hora_real",0
"formal",0.25033765213935,0.0404942113332445,1.07625004516661e-08,28.445904382011,"pre_pandemia_2016_2019","ln_renda_hora_real",0
"formal:mulher",-0.00848761949267145,0.0216103903984585,0.695280746139521,-0.845170134204554,"excl_2020_2021","ln_renda_hora_real",0
"formal:mulher",-0.0322082227425216,0.0332184209196747,0.3343592805035,-3.16950620233006,"pos_pandemia_2022_2025","ln_renda_hora_real",0
"formal:mulher",0.0206446709585263,0.029557647613631,0.486353767841382,2.08592462462518,"pre_pandemia_2016_2019","ln_renda_hora_real",0
"mulher",-0.181049018994175,0.0282556684417446,4.06530729390926e-09,-16.5605543483698,"excl_2020_2021","ln_renda_hora_real",0
"mulher",-0.201488094477103,0.0380582328915813,6.0968195382183e-07,-18.2486689574403,"pos_pandemia_2022_2025","ln_renda_hora_real",0
"mulher",-0.150586440391082,0.041016365441198,0.00037261969972365,-13.9796629522128,"pre_pandemia_2016_2019","ln_renda_hora_real",0
"factor(raca_grupo)indigena",-0.204470906702771,0.0456806033827843,1.90617067640831e-05,-18.4921545107684,"excl_2020_2021","ln_renda_mensal_real",0
"factor(raca_grupo)indigena",-0.180288422958574,0.064347247607237,0.00599748159572277,-16.4970664955505,"pos_pandemia_2022_2025","ln_renda_mensal_real",0
"factor(raca_grupo)indigena",-0.219511572955499,0.0630079042854069,0.000708355018737363,-19.7089134412455,"pre_pandemia_2016_2019","ln_renda_mensal_real",0
"factor(raca_grupo)pardo",-0.129201052289732,0.0232952009852095,2.12654518220232e-07,-12.1202736419042,"excl_2020_2021","ln_renda_mensal_real",0
"factor(raca_grupo)pardo",-0.114796874377568,0.0302045802801325,0.000236168373760889,-10.8452778400235,"pos_pandemia_2022_2025","ln_renda_mensal_real",0
"factor(raca_grupo)pardo",-0.152500786048145,0.0353954045999136,3.56749400774301e-05,-14.1441780911966,"pre_pandemia_2016_2019","ln_renda_mensal_real",0
"factor(raca_grupo)preto",-0.107533281857942,0.0354153447051202,0.00300783180330745,-10.1953366707053,"excl_2020_2021","ln_renda_mensal_real",0
"factor(raca_grupo)preto",-0.0914069837673867,0.048723278985792,0.063276225027468,-8.73537968844601,"pos_pandemia_2022_2025","ln_renda_mensal_real",0
"factor(raca_grupo)preto",-0.133878097422312,0.0456953386690351,0.00411792511224515,-12.5303314114798,"pre_pandemia_2016_2019","ln_renda_mensal_real",0
"formal",0.327312235919835,0.0284617719064037,2.06585841896146e-20,38.7234554022713,"excl_2020_2021","ln_renda_mensal_real",0
"formal",0.32460584506862,0.0431409755273341,1.48863794229832e-11,38.3485230972525,"pos_pandemia_2022_2025","ln_renda_mensal_real",0
"formal",0.322566803704158,0.0399587702683432,9.0116313824478e-13,38.0667121456788,"pre_pandemia_2016_2019","ln_renda_mensal_real",0
"formal:mulher",0.141951048354877,0.021115432917498,9.01024063970168e-10,15.2520229394845,"excl_2020_2021","ln_renda_mensal_real",0
"formal:mulher",0.104387995440664,0.0315130207556891,0.00124849863562108,11.0031058363734,"pos_pandemia_2022_2025","ln_renda_mensal_real",0
"formal:mulher",0.183867298790968,0.0296868857209582,1.01949892802073e-08,20.1856324726348,"pre_pandemia_2016_2019","ln_renda_mensal_real",0
"mulher",-0.33329156086673,0.0274239451958153,7.09482907376882e-22,-28.3438757520809,"excl_2020_2021","ln_renda_mensal_real",0
"mulher",-0.328389049286037,0.0394126758214457,2.34924628883583e-13,-27.9917182503433,"pos_pandemia_2022_2025","ln_renda_mensal_real",0
"mulher",-0.331526586335827,0.0393431231761352,1.43700941690206e-13,-28.2172928428549,"pre_pandemia_2016_2019","ln_renda_mensal_real",0
