periodo,ano,termo,coeficiente,erro_padrao,p_valor,efeito_percentual_aprox,ic95_inf,ic95_sup
2016T4,2016,formal,0.22897685222715333,0.04028187845713579,1.313005015823876e-08,25.731293467878103,16.18625574979804,36.06048370427126
2017T4,2017,formal,0.26272561429277336,0.04041439449563284,7.989764405635924e-11,30.04698396559935,20.14310657792393,40.767277626367274
2018T4,2018,formal,0.3575584860758297,0.03909371693998363,0.0,42.983418939347494,32.43672535321564,54.37000603162796
2019T4,2019,formal,0.37796454438237603,0.04452683112570887,0.0,45.93112011785918,33.73525562264747,59.23917533714782
2020T4,2020,formal,0.2650252811676953,0.04105449548939584,1.0789724669280076e-10,30.3463928451986,20.268730036572457,41.268492006095904
2021T4,2021,formal,0.28224017908899257,0.06546921628144946,1.6249109988653032e-05,32.609718255445785,16.6398172141935,50.76616026837202
2022T4,2022,formal,0.23969545203861928,0.04815915030859778,6.452636773790488e-07,27.086205293211975,15.639050168593084,39.666518812473875
2023T4,2023,formal,0.2745578671860736,0.050368465641608275,5.0090944281322436e-08,31.594872211540604,19.224212680321017,45.249106729727686
2024T4,2024,formal,0.2840287792087847,0.03960321227548416,7.398526236102043e-13,32.84711625516032,22.92527729931251,43.56979040478264
2025T4,2025,formal,0.25968743257292215,0.04162709201389628,4.4200243465297717e-10,29.65247719128774,19.494281684465097,40.67421976078334
2016T4,2016,mulher,-0.14707394381419786,0.031021340396541915,2.12606076499533e-06,-13.676985547309206,-18.769205734553573,-8.265542746647526
2017T4,2017,mulher,-0.16026683795223018,0.033123719108555875,1.3086794163896798e-06,-14.808356500275933,-20.16349479337204,-9.094015282853874
2018T4,2018,mulher,-0.095830816669246,0.03088578873596744,0.00191732880667983,-9.138227396096942,-14.4754710248454,-3.4679077493456223
2019T4,2019,mulher,-0.16359874962689216,0.028780409866076676,1.3128904408077346e-08,-15.091735173317932,-19.748790542047658,-10.164426373469782
2020T4,2020,mulher,-0.15689099110945942,0.03811978491579912,3.859449844667573e-05,-14.52027657627404,-20.67412115548687,-7.889036679710404
2021T4,2021,mulher,-0.13071615805702808,0.03494120770063811,0.00018326655962463967,-12.253319907104753,-18.06147583106712,-6.033456845636365
2022T4,2022,mulher,-0.17521882746701956,0.028900772075631954,1.3379424235182569e-09,-16.072665538689236,-20.694629890845206,-11.181330342627028
2023T4,2023,mulher,-0.16007333131407908,0.0291321319892914,3.912986090703896e-08,-14.791869756648012,-19.5208716239749,-9.784988902403025
2024T4,2024,mulher,-0.174480056363318,0.024672853644510356,1.5301093725383907e-12,-16.01063954049201,-19.975620141283002,-11.849205419006415
2025T4,2025,mulher,-0.14502141964708798,0.029824328297356383,1.1590013742068805e-06,-13.499623516306514,-18.41111145730586,-8.292473822518865
2016T4,2016,preto_pardo,-0.14175867645239693,0.03306013451726748,1.8036717109870537e-05,-13.21693408086093,-18.661972845013175,-7.407386265036875
2017T4,2017,preto_pardo,-0.03379880614954747,0.03897124366128655,0.38579105873244535,-3.323400755551831,-10.43292891123645,4.35045746007614
2018T4,2018,preto_pardo,-0.06109470582861869,0.03987355297815434,0.12547031712634915,-5.926585744941715,-12.998677792862335,1.720376714892713
2019T4,2019,preto_pardo,-0.056496178751037185,0.04326862491062436,0.19165196244040028,-5.492990416362964,-13.177352597246417,2.8714871940013875
2020T4,2020,preto_pardo,-0.09601982737701213,0.04816715465660389,0.04620989279933774,-9.15539962112737,-17.339427461747782,-0.1610905346922653
2021T4,2021,preto_pardo,-0.1498040118171954,0.07448849227830043,0.04431460456256753,-13.912331845115189,-25.606488329565313,-0.37993311598346624
2022T4,2022,preto_pardo,-0.031207334080084165,0.043691745398250936,0.4750654591894721,-3.072541141389473,-11.027526895830665,5.593696038863749
2023T4,2023,preto_pardo,-0.04233732709372878,0.03076478321910463,0.1687714689343509,-4.145361763530497,-9.75448652536237,1.8123928568110514
2024T4,2024,preto_pardo,-0.021665235814199685,0.03481658583357409,0.5337658747329261,-2.143223033261521,-8.598266721495184,4.7676937278606335
2025T4,2025,preto_pardo,-0.028257904020556543,0.033944166565999266,0.4051369948114427,-2.7862383731918405,-9.043468597419658,3.9014494495749785
